Age,Experience_Years,Monthly_Salary,Department_Engineering,Department_HR,Department_Marketing,Department_Sales,Job_Role_Analyst,Job_Role_Consultant,Job_Role_Engineer,Job_Role_Manager,Work_Location_Hybrid,Work_Location_Office,Work_Location_Remote,Performance_Rating_High,Performance_Rating_Low,Performance_Rating_Medium,Promotion_Status
0.9743589743589745,0.4642857142857143,0.7375898299456869,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.7179487179487181,0.25,0.8478523824206057,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.35897435897435903,0.2857142857142857,0.172811469772075,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.17948717948717952,0.75,0.1037461755567678,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.5128205128205128,0.35714285714285715,0.2487251855892607,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.5041831792162041,0.7857142857142857,0.5121255603254038,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.46153846153846156,0.0,0.7588762659203566,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.5641025641025641,0.4642857142857143,0.7484168583829424,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.2564102564102564,0.14285714285714285,0.5016068590944667,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.2564102564102564,0.7142857142857143,0.508364282223347,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.5897435897435896,0.8928571428571428,0.9385065104475487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.8974358974358974,0.4642857142857143,0.11677300002371749,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
1.0,0.10714285714285714,0.9339586841543532,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.5897435897435896,0.75,0.508364282223347,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.5041831792162041,0.7857142857142857,0.8440575860351494,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.5384615384615385,0.8571428571428571,0.5224723098451248,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.02564102564102566,0.0,0.19484500628513152,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.5897435897435896,0.75,0.15792875269786305,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
0.7435897435897436,0.7857142857142857,0.37973460142779214,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.9487179487179487,0.6428571428571428,0.7450311884827929,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.02564102564102566,0.25,0.8030678557028674,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.5128205128205128,0.5,0.9838246804069919,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
0.5041831792162041,0.7142857142857143,0.508364282223347,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.28205128205128205,0.5,0.5812916538196997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1
0.5384615384615385,0.2857142857142857,0.2061345255318644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
0.6153846153846154,0.7142857142857143,0.5999217323245499,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.6666666666666667,0.2857142857142857,0.27045039489599887,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0.6923076923076923,0.3214285714285714,0.6002834238550387,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.3846153846153846,0.6785714285714285,0.7443552403766335,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1
0.35897435897435903,0.8571428571428571,0.3616381661646467,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.05128205128205132,0.7142857142857143,0.3994497545241088,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0.5041831792162041,0.8928571428571428,0.38180988070108857,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1
0.15384615384615385,0.2857142857142857,0.8570962692408035,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
0.5128205128205128,0.07142857142857142,0.9055214287408391,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
0.20512820512820518,0.6785714285714285,0.511076061950051,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.9743589743589745,0.8571428571428571,0.36220145625311284,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.4358974358974359,0.8928571428571428,0.8501470483599365,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1
0.07692307692307698,0.35714285714285715,0.720234565851576,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0.6153846153846154,0.17857142857142855,0.6989125536607926,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
0.33333333333333337,0.03571428571428571,0.26360197329412044,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.20512820512820518,0.2142857142857143,0.19635699546996183,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1
